epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.98517,2.61026,3.98882,2.14562,0.00789,0.05536,0.00958,0.00375,2.17306,3.84607,1.75959,0.000175,0.000175,0.000175
2,7.81833,2.31045,3.635,1.76538,0.01861,0.15455,0.04335,0.01382,2.13878,3.65289,1.62133,0.000361603,0.000361603,0.000361603
3,11.9583,2.31997,3.12144,1.69689,0.01361,0.15048,0.01956,0.006,2.80542,3.33099,1.77153,0.000547277,0.000547277,0.000547277
4,15.9424,2.33454,2.61724,1.68193,0.8726,0.06569,0.07443,0.02588,2.29177,2.99803,1.67312,0.000732024,0.000732024,0.000732024
5,19.7735,2.35759,2.39319,1.67914,0.84179,0.099,0.07913,0.02784,2.22602,2.53488,1.66594,0.000915842,0.000915842,0.000915842
6,23.5836,2.28764,2.21867,1.69704,0.81623,0.10329,0.05449,0.01878,2.34812,2.40699,1.78755,0.00109873,0.00109873,0.00109873
7,27.5877,2.26253,2.15627,1.71566,0.83151,0.09203,0.06222,0.0228,2.21713,2.64358,1.81379,0.00123144,0.00123144,0.00123144
8,31.3926,2.20159,2.03079,1.67998,0.83443,0.0763,0.06197,0.02215,2.17433,2.7943,1.80497,0.00122834,0.00122834,0.00122834
9,35.4327,2.17972,1.96257,1.67172,0.83328,0.10472,0.07524,0.02664,2.17459,3.07417,1.80165,0.00122525,0.00122525,0.00122525
10,39.2902,2.17903,1.90687,1.64543,0.60234,0.11084,0.10288,0.03771,2.05228,2.1734,1.71307,0.00122216,0.00122216,0.00122216
11,43.2246,2.11247,1.89817,1.6374,0.8528,0.11294,0.13364,0.05167,2.02778,2.77924,1.6941,0.00121906,0.00121906,0.00121906
12,46.9543,2.07206,1.86033,1.61717,0.7237,0.15666,0.14864,0.05691,2.01283,2.19971,1.64658,0.00121597,0.00121597,0.00121597
13,50.7842,2.10923,1.81889,1.63123,0.43183,0.19969,0.15667,0.05929,2.05185,1.90803,1.68345,0.00121287,0.00121287,0.00121287
14,54.6636,2.06056,1.78751,1.61258,0.48601,0.20257,0.16058,0.0607,2.0132,1.88651,1.64319,0.00120978,0.00120978,0.00120978
15,58.4605,2.04016,1.76524,1.61256,0.50332,0.21641,0.17329,0.06905,2.00305,1.78381,1.64532,0.00120669,0.00120669,0.00120669
16,62.2027,2.00695,1.72878,1.6029,0.62108,0.23046,0.18328,0.07074,2.01651,1.8725,1.66733,0.00120359,0.00120359,0.00120359
17,65.9642,2.03936,1.71226,1.6079,0.56205,0.24413,0.19296,0.07652,1.94675,1.98885,1.60141,0.0012005,0.0012005,0.0012005
18,69.9646,2.01963,1.70182,1.59479,0.52918,0.24169,0.18814,0.07553,1.96674,2.0237,1.60729,0.00119741,0.00119741,0.00119741
19,73.7846,2.00881,1.68483,1.60916,0.50201,0.18458,0.16906,0.06395,2.02453,1.86021,1.70131,0.00119431,0.00119431,0.00119431
20,77.6596,1.96974,1.69697,1.60179,0.53998,0.23473,0.1994,0.07425,1.9841,1.94328,1.64287,0.00119122,0.00119122,0.00119122
21,81.4561,2.01874,1.68987,1.62337,0.54731,0.22876,0.20966,0.08167,1.98103,1.81618,1.62823,0.00118812,0.00118812,0.00118812
22,85.1936,1.99566,1.63444,1.57124,0.52135,0.21908,0.1851,0.07146,2.0407,1.83885,1.68815,0.00118503,0.00118503,0.00118503
23,88.7386,1.93806,1.61636,1.56748,0.48004,0.21477,0.19114,0.07442,1.96977,1.83984,1.69572,0.00118194,0.00118194,0.00118194
24,92.7557,1.96251,1.61547,1.58779,0.57709,0.20007,0.20827,0.08061,1.99616,1.77931,1.69351,0.00117884,0.00117884,0.00117884
25,96.3251,1.93805,1.60902,1.56406,0.48055,0.20923,0.17303,0.06951,2.05265,1.9429,1.76981,0.00117575,0.00117575,0.00117575
26,100.115,1.91466,1.5566,1.56983,0.52081,0.25543,0.23193,0.09447,1.92176,1.70975,1.63382,0.00117266,0.00117266,0.00117266
27,104.06,1.96499,1.62446,1.56047,0.52316,0.25117,0.21565,0.08888,2.04152,1.80573,1.66778,0.00116956,0.00116956,0.00116956
28,107.776,1.91817,1.57118,1.53831,0.50341,0.25951,0.20944,0.08105,2.09893,1.92811,1.72371,0.00116647,0.00116647,0.00116647
29,111.55,1.9324,1.5708,1.5604,0.56237,0.23264,0.23072,0.09196,1.99073,1.79117,1.63015,0.00116337,0.00116337,0.00116337
30,115.219,1.93612,1.52914,1.53969,0.60447,0.28731,0.26574,0.11075,1.96938,1.68737,1.59492,0.00116028,0.00116028,0.00116028
31,118.888,1.93233,1.5824,1.53997,0.49578,0.25308,0.22671,0.09339,1.98391,1.80251,1.69576,0.00115719,0.00115719,0.00115719
32,122.721,1.91909,1.56915,1.54552,0.48319,0.21417,0.20229,0.0759,2.03941,1.7634,1.74043,0.00115409,0.00115409,0.00115409
33,126.391,1.9079,1.55228,1.54155,0.51114,0.264,0.22048,0.08947,2.00751,1.72949,1.68639,0.001151,0.001151,0.001151
34,130.229,1.91498,1.53912,1.55146,0.54676,0.2708,0.24688,0.09831,2.04372,1.74885,1.71526,0.00114791,0.00114791,0.00114791
35,133.832,1.90943,1.5335,1.53005,0.51661,0.20871,0.2027,0.07982,2.03433,1.8611,1.74262,0.00114481,0.00114481,0.00114481
36,137.472,1.86533,1.5151,1.5177,0.54569,0.23792,0.22143,0.08743,2.05602,1.80697,1.69415,0.00114172,0.00114172,0.00114172
37,141.341,1.8978,1.49116,1.51302,0.58205,0.25035,0.24936,0.10036,1.97613,1.70497,1.63551,0.00113863,0.00113863,0.00113863
38,145.148,1.88979,1.50845,1.53478,0.57359,0.29775,0.26123,0.10496,1.95796,1.70215,1.6349,0.00113553,0.00113553,0.00113553
39,148.796,1.92916,1.53326,1.55172,0.55468,0.25625,0.24338,0.09618,1.98258,1.73174,1.63853,0.00113244,0.00113244,0.00113244
40,152.562,1.85971,1.46736,1.50581,0.56596,0.26082,0.24239,0.09386,1.95774,1.69386,1.61652,0.00112934,0.00112934,0.00112934
41,156.14,1.86969,1.45912,1.50613,0.52993,0.27898,0.24081,0.09782,1.97617,1.71211,1.62942,0.00112625,0.00112625,0.00112625
42,160.038,1.838,1.48133,1.51935,0.28534,0.2964,0.26448,0.1076,2.00647,1.59259,1.62028,0.00112316,0.00112316,0.00112316
