epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.34865,2.82492,4.04111,2.33529,0.00845,0.04622,0.00652,0.00242,2.23857,3.88006,1.86454,0.000175,0.000175,0.000175
2,8.5334,2.41938,3.73475,1.85017,0.01368,0.1078,0.0254,0.00826,2.15457,3.8128,1.77787,0.000361603,0.000361603,0.000361603
3,12.7823,2.40078,3.28393,1.75521,0.01252,0.0626,0.02224,0.00716,2.41423,3.88706,2.21357,0.000547277,0.000547277,0.000547277
4,16.9234,2.43553,2.83985,1.74851,0.86836,0.03771,0.05099,0.01659,2.40309,3.36777,2.05637,0.000732024,0.000732024,0.000732024
5,21.1129,2.45531,2.51325,1.74799,0.83265,0.03565,0.03703,0.01312,2.65369,3.3758,2.2243,0.000915842,0.000915842,0.000915842
6,25.7818,2.39478,2.29543,1.78082,0.79365,0.06165,0.02503,0.00766,2.64858,3.54625,2.18195,0.00109873,0.00109873,0.00109873
7,30.0692,2.39037,2.284,1.80748,0.81523,0.08006,0.05356,0.0171,2.38509,5.47546,1.99274,0.00123144,0.00123144,0.00123144
8,34.4332,2.30216,2.12963,1.74812,0.83663,0.08595,0.06502,0.02027,2.48378,2.97303,1.96076,0.00122834,0.00122834,0.00122834
9,38.812,2.27507,2.05055,1.73791,0.30411,0.07076,0.04184,0.01848,2.45429,8.30637,1.89528,0.00122525,0.00122525,0.00122525
10,43.3485,2.29257,2.01864,1.73059,0.05119,0.06004,0.02855,0.00911,2.47627,6.78335,1.90896,0.00122216,0.00122216,0.00122216
11,47.6123,2.22756,2.02383,1.72673,0.29739,0.05093,0.02422,0.00734,2.77862,5.88768,2.13378,0.00121906,0.00121906,0.00121906
12,51.8705,2.16795,1.95234,1.70117,0.30889,0.07005,0.04202,0.01442,2.31522,2.58445,1.79269,0.00121597,0.00121597,0.00121597
13,56.2943,2.19484,1.96803,1.68962,0.84848,0.09164,0.07938,0.02731,2.23734,2.30373,1.79859,0.00121287,0.00121287,0.00121287
14,60.4996,2.1821,1.9159,1.70948,0.87129,0.10323,0.10055,0.03577,2.12124,1.99977,1.75259,0.00120978,0.00120978,0.00120978
15,64.9378,2.15825,1.91647,1.69637,0.85351,0.11472,0.09901,0.03698,2.08492,2.17145,1.67153,0.00120669,0.00120669,0.00120669
16,69.4335,2.10877,1.90108,1.66933,0.36918,0.11136,0.10797,0.03993,2.14436,2.12372,1.68227,0.00120359,0.00120359,0.00120359
17,73.6067,2.13553,1.85483,1.65293,0.33696,0.09828,0.0869,0.0307,2.24212,2.19271,1.76523,0.0012005,0.0012005,0.0012005
18,78.1543,2.12612,1.87118,1.65134,0.1656,0.11431,0.10466,0.03949,2.12256,2.47753,1.71092,0.00119741,0.00119741,0.00119741
19,82.4365,2.09645,1.83807,1.6502,0.66551,0.11681,0.09579,0.03521,2.09665,2.04332,1.70999,0.00119431,0.00119431,0.00119431
20,87.0761,2.07182,1.86224,1.65416,0.14544,0.08214,0.06257,0.02335,2.44311,3.57862,1.8611,0.00119122,0.00119122,0.00119122
21,91.2632,2.10504,1.84773,1.68102,0.60312,0.10025,0.10016,0.03977,2.14117,2.54233,1.76614,0.00118812,0.00118812,0.00118812
22,95.7282,2.10282,1.79203,1.64781,0.66239,0.13477,0.11459,0.04193,2.1343,2.07266,1.71217,0.00118503,0.00118503,0.00118503
