epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.25628,2.57759,3.99159,2.13175,0.00707,0.03988,0.00639,0.00247,2.14799,3.89907,1.821,0.000175,0.000175,0.000175
2,8.1727,2.26989,3.65297,1.77519,0.01925,0.14583,0.04126,0.01362,2.11301,3.62181,1.57904,0.000361603,0.000361603,0.000361603
3,13.127,2.28908,3.10111,1.69279,0.01832,0.12481,0.03223,0.01071,2.34574,3.497,1.70051,0.000547277,0.000547277,0.000547277
4,16.9592,2.31857,2.65841,1.68217,0.87663,0.05075,0.06871,0.02239,2.32195,2.99205,1.67747,0.000732024,0.000732024,0.000732024
5,20.6825,2.34642,2.3686,1.6859,0.80983,0.09703,0.0486,0.01611,2.453,2.58347,1.86465,0.000915842,0.000915842,0.000915842
6,24.317,2.26828,2.17677,1.69444,0.30189,0.08881,0.03888,0.01403,2.35465,2.98486,1.79891,0.00109873,0.00109873,0.00109873
7,28.0839,2.24387,2.08658,1.71149,0.85074,0.10445,0.08101,0.02935,2.19843,2.58113,1.7757,0.00123144,0.00123144,0.00123144
8,31.8603,2.17033,1.96518,1.6713,0.31481,0.07845,0.05133,0.01869,2.44668,4.71636,1.96616,0.00122834,0.00122834,0.00122834
9,35.3984,2.14772,1.92772,1.66997,0.32059,0.08957,0.0624,0.023,2.32657,5.85022,1.92561,0.00122525,0.00122525,0.00122525
10,39.2275,2.13435,1.87788,1.63355,0.55459,0.07988,0.04379,0.01674,2.1273,3.46093,1.72034,0.00122216,0.00122216,0.00122216
11,42.7871,2.08229,1.88896,1.626,0.68057,0.16435,0.17307,0.05707,2.08731,2.85409,1.69482,0.00121906,0.00121906,0.00121906
12,46.3968,2.07304,1.82809,1.64213,0.66742,0.14496,0.13463,0.05055,2.12929,2.85432,1.71725,0.00121597,0.00121597,0.00121597
13,50.0373,2.1127,1.80766,1.63871,0.67343,0.1751,0.14277,0.05493,1.97891,2.10976,1.65306,0.00121287,0.00121287,0.00121287
14,53.7761,2.05943,1.76647,1.62713,0.70982,0.19033,0.17089,0.06258,1.98381,1.93202,1.64597,0.00120978,0.00120978,0.00120978
15,57.2857,2.02656,1.73122,1.60956,0.46282,0.20058,0.16833,0.06334,2.0034,1.84785,1.66148,0.00120669,0.00120669,0.00120669
16,60.8021,1.98968,1.69297,1.59993,0.4547,0.20806,0.15346,0.05742,2.10491,1.96694,1.74986,0.00120359,0.00120359,0.00120359
17,64.1853,2.01999,1.68445,1.60491,0.55251,0.20299,0.18265,0.06769,2.02287,1.84397,1.6511,0.0012005,0.0012005,0.0012005
18,67.8663,2.02515,1.70064,1.58486,0.53406,0.24084,0.19337,0.07788,1.99114,1.80847,1.65143,0.00119741,0.00119741,0.00119741
19,71.4892,2.0033,1.67592,1.61048,0.53229,0.18717,0.19918,0.07642,2.03573,1.9956,1.74684,0.00119431,0.00119431,0.00119431
20,74.8939,1.94539,1.68762,1.61157,0.54476,0.21882,0.20583,0.08079,2.00742,1.86136,1.68024,0.00119122,0.00119122,0.00119122
21,78.3483,1.99611,1.66441,1.62055,0.48788,0.28669,0.21459,0.08328,1.98994,1.74108,1.65436,0.00118812,0.00118812,0.00118812
22,81.8657,1.99406,1.60848,1.57452,0.24381,0.28212,0.20225,0.07845,2.01669,1.79865,1.6351,0.00118503,0.00118503,0.00118503
23,85.4961,1.94624,1.59564,1.57265,0.23338,0.28934,0.22653,0.09301,1.90664,1.75394,1.63272,0.00118194,0.00118194,0.00118194
24,89.1527,1.96023,1.60169,1.58066,0.54086,0.21944,0.22585,0.08997,1.94063,1.74022,1.64483,0.00117884,0.00117884,0.00117884
25,92.7611,1.93618,1.59049,1.55782,0.50914,0.247,0.23218,0.09236,1.99167,1.78205,1.67,0.00117575,0.00117575,0.00117575
26,96.1042,1.92276,1.53285,1.56727,0.26388,0.27692,0.21411,0.08153,2.03195,1.89823,1.72157,0.00117266,0.00117266,0.00117266
27,99.5981,1.97045,1.62915,1.56288,0.50346,0.26807,0.20411,0.07962,2.06143,1.79872,1.69102,0.00116956,0.00116956,0.00116956
28,103.143,1.91064,1.59034,1.54159,0.42031,0.29657,0.26224,0.10975,1.96831,1.71175,1.64701,0.00116647,0.00116647,0.00116647
29,106.593,1.91278,1.55799,1.54997,0.33276,0.29514,0.26534,0.10953,1.92742,1.63797,1.59109,0.00116337,0.00116337,0.00116337
30,110.095,1.92038,1.5169,1.53654,0.60664,0.2638,0.27438,0.11021,1.93459,1.60905,1.57893,0.00116028,0.00116028,0.00116028
31,113.482,1.91918,1.55185,1.53106,0.51736,0.21217,0.20342,0.08314,2.01864,1.90209,1.73683,0.00115719,0.00115719,0.00115719
32,117.034,1.9181,1.56175,1.53692,0.27881,0.27393,0.2392,0.0917,1.98791,1.74139,1.68834,0.00115409,0.00115409,0.00115409
33,120.462,1.9038,1.55081,1.54637,0.39465,0.31259,0.27905,0.10963,1.96626,1.65084,1.65052,0.001151,0.001151,0.001151
34,124.155,1.90789,1.54301,1.56367,0.34088,0.29567,0.28278,0.11564,1.96489,1.61203,1.64318,0.00114791,0.00114791,0.00114791
35,127.653,1.90714,1.52807,1.53375,0.61255,0.27555,0.26684,0.10836,1.94589,1.62611,1.60097,0.00114481,0.00114481,0.00114481
36,131.152,1.86016,1.49407,1.519,0.50724,0.215,0.21741,0.09433,1.96448,1.67482,1.61943,0.00114172,0.00114172,0.00114172
37,134.775,1.88397,1.4776,1.51261,0.54383,0.22143,0.21792,0.09041,2.05924,1.76731,1.68091,0.00113863,0.00113863,0.00113863
38,138.272,1.88837,1.50055,1.53686,0.3938,0.31279,0.30134,0.1164,1.95427,1.61858,1.63788,0.00113553,0.00113553,0.00113553
39,141.678,1.92043,1.543,1.55112,0.39109,0.30004,0.25958,0.10293,1.99955,1.77312,1.67615,0.00113244,0.00113244,0.00113244
40,145.293,1.86501,1.47207,1.5161,0.40357,0.28123,0.27095,0.11385,1.98811,1.6684,1.6218,0.00112934,0.00112934,0.00112934
41,148.657,1.87994,1.46338,1.52062,0.58605,0.25692,0.25069,0.10436,2.04461,1.68879,1.66771,0.00112625,0.00112625,0.00112625
42,152.128,1.83665,1.47927,1.52705,0.52555,0.32228,0.30241,0.12235,2.01547,1.63948,1.63359,0.00112316,0.00112316,0.00112316
43,155.445,1.84275,1.43435,1.50887,0.37299,0.29259,0.29301,0.11637,2.07394,1.76526,1.6866,0.00112006,0.00112006,0.00112006
44,159.114,1.90891,1.49752,1.53669,0.3063,0.31391,0.26359,0.10178,2.04921,1.69534,1.70607,0.00111697,0.00111697,0.00111697
45,162.415,1.85156,1.47564,1.52094,0.28228,0.30782,0.2574,0.09699,2.09766,1.72224,1.67757,0.00111388,0.00111388,0.00111388
46,165.942,1.85792,1.44465,1.50991,0.39236,0.30326,0.29224,0.12002,2.00664,1.6569,1.63847,0.00111078,0.00111078,0.00111078
