epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.25286,2.64153,4.01582,2.18497,0.00762,0.04026,0.0082,0.00348,2.20863,3.85402,1.76232,0.000175,0.000175,0.000175
2,9.82507,2.26114,3.70032,1.76059,0.01925,0.14261,0.04024,0.01416,2.11594,3.63814,1.56042,0.000361603,0.000361603,0.000361603
3,14.0228,2.24268,3.16272,1.67198,0.02475,0.14905,0.05199,0.0182,2.28449,3.38208,1.62113,0.000547277,0.000547277,0.000547277
4,18.0895,2.31853,2.69373,1.68744,0.9061,0.05004,0.08192,0.03024,2.18437,3.15793,1.72348,0.000732024,0.000732024,0.000732024
5,21.83,2.31469,2.37582,1.67349,0.8335,0.08155,0.06174,0.02221,2.2339,2.8519,1.84899,0.000915842,0.000915842,0.000915842
6,25.5464,2.24395,2.1401,1.68429,0.81487,0.07791,0.04599,0.01592,2.24955,2.91072,1.9433,0.00109873,0.00109873,0.00109873
7,29.3337,2.24869,2.07721,1.71556,0.84042,0.097,0.07721,0.02814,2.2656,2.23239,1.94248,0.00123144,0.00123144,0.00123144
8,33.0668,2.17903,1.97197,1.68568,0.78136,0.10147,0.09695,0.03795,2.16705,2.23979,1.80108,0.00122834,0.00122834,0.00122834
9,36.7225,2.1339,1.95088,1.68084,0.8443,0.11812,0.09368,0.03508,2.13027,2.66794,1.75633,0.00122525,0.00122525,0.00122525
10,40.5579,2.14483,1.90025,1.64806,0.58386,0.16993,0.0463,0.01824,2.08309,2.46535,1.67408,0.00122216,0.00122216,0.00122216
11,44.5508,2.09567,1.90186,1.61145,0.17056,0.11615,0.09159,0.03135,2.15244,3.20172,1.71466,0.00121906,0.00121906,0.00121906
12,48.3649,2.08198,1.85354,1.65389,0.6944,0.18373,0.1653,0.06164,2.02647,2.58606,1.64549,0.00121597,0.00121597,0.00121597
13,52.1738,2.09269,1.84245,1.64909,0.69065,0.15692,0.13573,0.04994,2.11173,2.31496,1.70218,0.00121287,0.00121287,0.00121287
14,56.0497,2.04751,1.78187,1.62605,0.67524,0.17345,0.15411,0.05559,2.1132,1.9955,1.70042,0.00120978,0.00120978,0.00120978
15,59.6207,2.02871,1.75638,1.61402,0.43694,0.17472,0.14742,0.05708,2.00292,1.86524,1.65948,0.00120669,0.00120669,0.00120669
16,63.4558,1.98195,1.74079,1.60264,0.42227,0.27293,0.18705,0.07217,1.99805,2.08702,1.63145,0.00120359,0.00120359,0.00120359
17,67.1278,2.0204,1.6963,1.60709,0.44515,0.20864,0.17081,0.06237,2.07371,1.96279,1.64743,0.0012005,0.0012005,0.0012005
18,70.9228,2.03049,1.72822,1.59649,0.4297,0.23597,0.16862,0.0625,2.00706,2.14621,1.64771,0.00119741,0.00119741,0.00119741
19,74.6841,2.01603,1.70687,1.61953,0.41639,0.23427,0.15539,0.06135,1.93838,2.09436,1.63646,0.00119431,0.00119431,0.00119431
20,78.3888,1.96102,1.69651,1.60936,0.47129,0.24331,0.19592,0.07376,2.06051,2.36011,1.68815,0.00119122,0.00119122,0.00119122
21,82.0045,2.00306,1.69242,1.61305,0.50621,0.21854,0.20695,0.07998,1.97429,1.82701,1.66433,0.00118812,0.00118812,0.00118812
22,85.8647,1.98542,1.66517,1.57802,0.55315,0.20727,0.19983,0.07306,2.077,1.94527,1.71075,0.00118503,0.00118503,0.00118503
23,89.494,1.95755,1.62873,1.58979,0.54457,0.23573,0.22341,0.08605,1.94799,1.82874,1.68742,0.00118194,0.00118194,0.00118194
24,93.2066,1.97453,1.63736,1.59465,0.56512,0.21136,0.21123,0.08183,1.97664,1.83607,1.69134,0.00117884,0.00117884,0.00117884
25,96.8808,1.94322,1.63471,1.57879,0.72962,0.22318,0.2584,0.10252,1.96718,1.77362,1.6954,0.00117575,0.00117575,0.00117575
26,100.522,1.93955,1.58301,1.59254,0.6595,0.21567,0.19811,0.08153,1.99884,1.7664,1.68296,0.00117266,0.00117266,0.00117266
27,104.109,1.97545,1.64172,1.57448,0.5513,0.23771,0.22738,0.09056,2.03834,1.83397,1.69033,0.00116956,0.00116956,0.00116956
28,107.748,1.91825,1.61099,1.55783,0.53348,0.26361,0.27603,0.11123,1.97968,1.72019,1.65219,0.00116647,0.00116647,0.00116647
29,111.401,1.91904,1.58561,1.56858,0.37023,0.27804,0.24152,0.09922,1.94747,1.76302,1.64359,0.00116337,0.00116337,0.00116337
30,115.255,1.93238,1.54549,1.55177,0.57767,0.2552,0.23638,0.09812,1.9838,1.86424,1.62065,0.00116028,0.00116028,0.00116028
31,118.969,1.9257,1.58767,1.54661,0.57416,0.22344,0.18193,0.07449,1.93565,1.79169,1.66798,0.00115719,0.00115719,0.00115719
32,122.663,1.9169,1.59323,1.55777,0.51442,0.22999,0.23134,0.09729,1.96898,1.78256,1.71982,0.00115409,0.00115409,0.00115409
33,126.193,1.90672,1.58314,1.55757,0.55076,0.23938,0.24224,0.09887,1.97611,1.71134,1.65672,0.001151,0.001151,0.001151
34,130.144,1.91641,1.56313,1.56979,0.25591,0.32117,0.22877,0.09318,2.01243,1.80069,1.70145,0.00114791,0.00114791,0.00114791
35,133.814,1.92982,1.57591,1.55668,0.57051,0.2742,0.246,0.10251,1.96421,1.75078,1.6761,0.00114481,0.00114481,0.00114481
36,137.319,1.87981,1.56325,1.54738,0.2351,0.27121,0.23844,0.10124,1.98582,1.77444,1.68269,0.00114172,0.00114172,0.00114172
37,141.174,1.91147,1.55168,1.55183,0.5537,0.23599,0.23302,0.09271,2.09415,1.86736,1.76652,0.00113863,0.00113863,0.00113863
38,144.923,1.91613,1.55241,1.56905,0.51686,0.25926,0.21717,0.08325,2.09293,1.83978,1.71572,0.00113553,0.00113553,0.00113553
39,148.526,1.94605,1.58877,1.58327,0.49678,0.26865,0.25555,0.10389,1.96501,1.75192,1.63059,0.00113244,0.00113244,0.00113244
40,152.228,1.88644,1.5197,1.53758,0.34653,0.30251,0.26948,0.10678,1.92419,1.62619,1.61614,0.00112934,0.00112934,0.00112934
41,155.771,1.89368,1.50732,1.53483,0.36838,0.33336,0.29364,0.11398,1.94017,1.69627,1.61368,0.00112625,0.00112625,0.00112625
42,159.335,1.8497,1.52825,1.55055,0.28534,0.2427,0.24445,0.09413,1.96845,1.73912,1.65414,0.00112316,0.00112316,0.00112316
43,163.08,1.8554,1.49028,1.53433,0.27781,0.28355,0.23122,0.0893,2.00281,1.67284,1.64022,0.00112006,0.00112006,0.00112006
44,166.736,1.93532,1.54349,1.55442,0.24078,0.28427,0.25014,0.10399,2.01404,1.76601,1.66486,0.00111697,0.00111697,0.00111697
45,170.425,1.87561,1.51854,1.54534,0.2289,0.31908,0.26273,0.10502,1.99772,1.68102,1.6476,0.00111388,0.00111388,0.00111388
46,174.105,1.8625,1.46496,1.52611,0.63917,0.2635,0.29977,0.11805,2.03334,1.81862,1.64786,0.00111078,0.00111078,0.00111078
47,177.787,1.88436,1.44297,1.51327,0.38784,0.36073,0.29476,0.1124,1.9555,1.7102,1.6306,0.00110769,0.00110769,0.00110769
48,181.437,1.8761,1.45355,1.49878,0.42331,0.34098,0.31299,0.12644,1.97106,1.68461,1.65131,0.00110459,0.00110459,0.00110459
49,185.102,1.82979,1.44798,1.49585,0.31059,0.35897,0.28932,0.11624,1.98698,1.6753,1.60709,0.0011015,0.0011015,0.0011015
50,188.808,1.82745,1.42398,1.49228,0.28159,0.35664,0.26576,0.10677,2.01692,1.70568,1.64035,0.00109841,0.00109841,0.00109841
51,192.268,1.85676,1.4643,1.51405,0.3661,0.28592,0.25089,0.09247,2.03099,1.81127,1.76121,0.00109531,0.00109531,0.00109531
52,196.043,1.80404,1.43754,1.50226,0.42494,0.31299,0.30689,0.12168,1.96432,1.66779,1.67335,0.00109222,0.00109222,0.00109222
53,199.86,1.82344,1.43931,1.48628,0.42378,0.30343,0.29494,0.12151,2.03271,1.68976,1.65179,0.00108913,0.00108913,0.00108913
54,203.56,1.856,1.45903,1.51135,0.35261,0.24581,0.21591,0.08782,2.00942,1.69054,1.63672,0.00108603,0.00108603,0.00108603
55,207.153,1.82234,1.44056,1.50447,0.3273,0.31086,0.27474,0.11281,1.98503,1.6079,1.61114,0.00108294,0.00108294,0.00108294
56,210.894,1.85493,1.40318,1.50313,0.24432,0.34383,0.27963,0.11047,2.03256,1.63102,1.61331,0.00107984,0.00107984,0.00107984
57,214.491,1.84211,1.3951,1.48766,0.49024,0.25749,0.28816,0.12471,1.98005,1.65585,1.59608,0.00107675,0.00107675,0.00107675
58,218.015,1.81449,1.4509,1.50567,0.27154,0.33955,0.28968,0.11902,1.95383,1.66137,1.63128,0.00107366,0.00107366,0.00107366
59,221.734,1.83257,1.41566,1.48991,0.55689,0.29226,0.32075,0.12357,2.03364,1.662,1.68004,0.00107056,0.00107056,0.00107056
60,225.496,1.81507,1.40357,1.49637,0.34454,0.29378,0.30625,0.12205,1.97708,1.61298,1.66322,0.00106747,0.00106747,0.00106747
61,229.064,1.84316,1.41984,1.48359,0.32677,0.28698,0.27657,0.10604,2.02333,1.67436,1.67126,0.00106437,0.00106437,0.00106437
62,232.799,1.80964,1.38969,1.46862,0.44587,0.29851,0.30091,0.11977,2.06135,1.8581,1.64937,0.00106128,0.00106128,0.00106128
63,236.417,1.85583,1.39417,1.50791,0.29231,0.30286,0.28981,0.11994,1.96033,1.63126,1.62004,0.00105819,0.00105819,0.00105819
64,240.083,1.8063,1.41032,1.47336,0.44908,0.28801,0.29846,0.11421,2.0004,1.65393,1.66754,0.00105509,0.00105509,0.00105509
65,243.562,1.81768,1.40373,1.48428,0.39364,0.27473,0.28445,0.1126,2.03373,1.64967,1.69894,0.001052,0.001052,0.001052
66,247.434,1.8167,1.36744,1.47942,0.32635,0.32166,0.28766,0.12053,1.9882,1.69644,1.6869,0.00104891,0.00104891,0.00104891
67,250.964,1.78025,1.39744,1.47363,0.33649,0.30547,0.25693,0.09962,1.97692,1.75106,1.71012,0.00104581,0.00104581,0.00104581
68,254.786,1.77895,1.3832,1.47069,0.25062,0.27967,0.21746,0.08205,2.08679,1.87753,1.76113,0.00104272,0.00104272,0.00104272
69,258.449,1.78204,1.33083,1.45527,0.28264,0.27126,0.23681,0.08925,2.04044,1.70892,1.7287,0.00103962,0.00103962,0.00103962
70,262.06,1.77604,1.33696,1.44623,0.27214,0.29158,0.24843,0.09345,2.0634,1.69918,1.71954,0.00103653,0.00103653,0.00103653
71,265.873,1.78116,1.35795,1.47002,0.38263,0.28547,0.26461,0.10049,2.01075,1.59504,1.66824,0.00103344,0.00103344,0.00103344
72,269.304,1.77408,1.3839,1.48391,0.32265,0.36111,0.29637,0.12,2.05008,1.63969,1.66164,0.00103034,0.00103034,0.00103034
