epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.53311,2.63878,4.0007,2.17348,0.00644,0.03103,0.0068,0.00252,2.17262,3.93967,1.83498,0.000175,0.000175,0.000175
2,7.82921,2.2302,3.69007,1.75785,0.01152,0.06966,0.02168,0.00839,2.14834,3.70708,1.59177,0.000361603,0.000361603,0.000361603
3,11.4507,2.22924,3.14923,1.6743,0.01353,0.0595,0.02405,0.00867,2.07957,3.90538,1.96475,0.000547277,0.000547277,0.000547277
4,14.7608,2.2763,2.59821,1.6765,0.87258,0.052,0.06183,0.0233,2.18719,3.21934,1.78402,0.000732024,0.000732024,0.000732024
5,18.3812,2.28143,2.29982,1.6527,0.87284,0.09793,0.10053,0.03776,2.20631,2.64767,1.72884,0.000915842,0.000915842,0.000915842
6,21.8361,2.21746,2.10227,1.67671,0.82922,0.10926,0.06665,0.02442,2.12711,2.16448,1.71338,0.00109873,0.00109873,0.00109873
7,25.1958,2.219,2.05685,1.71284,0.84608,0.10025,0.07895,0.03086,2.15454,2.24473,1.79208,0.00123144,0.00123144,0.00123144
8,28.5628,2.13462,1.91645,1.66099,0.861,0.11705,0.10217,0.03955,2.07137,2.12438,1.72738,0.00122834,0.00122834,0.00122834
9,32.0012,2.11219,1.88441,1.66588,0.86488,0.11741,0.1078,0.04078,2.03276,2.59893,1.67821,0.00122525,0.00122525,0.00122525
10,35.6689,2.11604,1.86775,1.62215,0.86491,0.10793,0.11429,0.04291,2.01298,2.05898,1.64805,0.00122216,0.00122216,0.00122216
11,39.0936,2.05131,1.83003,1.61278,0.75198,0.12605,0.11926,0.04432,2.0522,2.20477,1.68781,0.00121906,0.00121906,0.00121906
12,42.4418,2.03507,1.80992,1.61912,0.732,0.16969,0.15226,0.05951,2.01843,2.01982,1.69688,0.00121597,0.00121597,0.00121597
13,45.8139,2.08323,1.78244,1.62973,0.72619,0.17568,0.18149,0.06787,1.9855,1.83883,1.68255,0.00121287,0.00121287,0.00121287
14,49.3088,2.033,1.72646,1.60452,0.76797,0.15795,0.18743,0.06968,1.98252,1.96556,1.66088,0.00120978,0.00120978,0.00120978
15,52.729,2.00532,1.7292,1.6041,0.70738,0.18697,0.16298,0.06209,1.99138,1.89109,1.64428,0.00120669,0.00120669,0.00120669
16,56.1392,1.98046,1.70501,1.60323,0.50871,0.18223,0.18662,0.07258,1.96696,1.82201,1.62892,0.00120359,0.00120359,0.00120359
17,59.5424,1.99624,1.66049,1.59613,0.46446,0.21324,0.1811,0.07249,1.92815,1.74307,1.57194,0.0012005,0.0012005,0.0012005
18,62.9693,1.99,1.67095,1.58273,0.48794,0.24299,0.19461,0.07725,1.93448,1.86605,1.58271,0.00119741,0.00119741,0.00119741
19,66.3975,1.97754,1.65944,1.58841,0.53722,0.22653,0.21812,0.08511,1.97177,1.75436,1.67997,0.00119431,0.00119431,0.00119431
