epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.81064,2.60253,3.99192,2.14752,0.00882,0.06918,0.01023,0.00381,2.18735,3.80992,1.70784,0.000175,0.000175,0.000175
2,7.75172,2.2933,3.6572,1.77158,0.01785,0.15142,0.02771,0.00898,2.38709,3.59432,1.64816,0.000361603,0.000361603,0.000361603
3,11.7006,2.2991,3.13583,1.7137,0.01412,0.14518,0.02085,0.00621,2.80416,3.33851,1.79932,0.000547277,0.000547277,0.000547277
4,15.8036,2.33301,2.70303,1.70386,0.88708,0.06433,0.08021,0.02838,2.2119,3.17566,1.68022,0.000732024,0.000732024,0.000732024
5,19.6422,2.36176,2.39073,1.69665,0.86735,0.07541,0.0767,0.0268,2.50082,2.79718,1.96462,0.000915842,0.000915842,0.000915842
6,25.0474,2.27667,2.20734,1.7117,0.83938,0.09578,0.06756,0.0232,2.30645,2.33401,1.85559,0.00109873,0.00109873,0.00109873
7,28.7823,2.2467,2.11702,1.72226,0.84754,0.10776,0.08978,0.03312,2.17486,2.4026,1.91447,0.00123144,0.00123144,0.00123144
8,32.5022,2.17129,1.99361,1.68384,0.8358,0.09793,0.07,0.0243,2.19432,2.73601,1.81152,0.00122834,0.00122834,0.00122834
9,36.1871,2.15773,1.94612,1.68616,0.06304,0.08984,0.04498,0.01658,2.48788,5.23442,2.05191,0.00122525,0.00122525,0.00122525
10,39.9797,2.16786,1.90621,1.65293,0.81561,0.08863,0.05288,0.01935,2.11021,3.33048,1.68936,0.00122216,0.00122216,0.00122216
11,43.6386,2.09125,1.90365,1.61703,0.59817,0.09685,0.09473,0.03305,2.07021,2.45965,1.71111,0.00121906,0.00121906,0.00121906
12,47.4385,2.08532,1.86677,1.63397,0.19293,0.1475,0.11532,0.04293,2.12587,2.59588,1.73264,0.00121597,0.00121597,0.00121597
13,51.0868,2.1052,1.83114,1.63413,0.16683,0.16945,0.12216,0.04792,2.02142,2.25292,1.67561,0.00121287,0.00121287,0.00121287
14,54.6475,2.06053,1.78898,1.62508,0.42687,0.22736,0.15079,0.05334,2.0576,2.02845,1.64278,0.00120978,0.00120978,0.00120978
15,58.2155,2.03741,1.76296,1.61694,0.43455,0.20758,0.13797,0.05004,2.04269,1.95233,1.67896,0.00120669,0.00120669,0.00120669
16,61.7996,2.00465,1.73509,1.60103,0.44298,0.17539,0.13248,0.05124,2.11764,2.22185,1.79346,0.00120359,0.00120359,0.00120359
17,65.4878,2.03732,1.7109,1.6122,0.50636,0.15442,0.14444,0.05379,2.16425,2.55391,1.86057,0.0012005,0.0012005,0.0012005
18,69.0592,2.02197,1.71394,1.59677,0.53247,0.19002,0.17598,0.06876,2.01328,1.98074,1.77124,0.00119741,0.00119741,0.00119741
19,72.6294,2.01285,1.70131,1.60843,0.45228,0.20219,0.14916,0.05747,2.01912,1.92318,1.77682,0.00119431,0.00119431,0.00119431
20,76.0317,1.96859,1.71146,1.59873,0.46853,0.23507,0.17443,0.06689,2.02698,1.83092,1.70753,0.00119122,0.00119122,0.00119122
21,79.564,2.00127,1.67823,1.62118,0.48462,0.21104,0.1767,0.069,2.08844,1.85648,1.73418,0.00118812,0.00118812,0.00118812
22,83.1957,2.00731,1.64922,1.57717,0.51582,0.2225,0.19713,0.06936,2.07117,1.88231,1.69264,0.00118503,0.00118503,0.00118503
23,86.8289,1.96842,1.61974,1.57457,0.49156,0.22152,0.19635,0.08222,1.98852,1.89306,1.69854,0.00118194,0.00118194,0.00118194
24,90.3847,1.96932,1.62651,1.59151,0.56118,0.21888,0.21219,0.08757,1.92797,1.7316,1.65454,0.00117884,0.00117884,0.00117884
25,93.9134,1.94564,1.64848,1.58025,0.52433,0.23082,0.21575,0.09093,1.92983,1.76458,1.6807,0.00117575,0.00117575,0.00117575
26,97.4632,1.93317,1.57209,1.59091,0.53375,0.24614,0.23855,0.09339,2.00357,1.77771,1.72806,0.00117266,0.00117266,0.00117266
27,100.898,1.9947,1.62913,1.57741,0.49835,0.24242,0.2129,0.08135,2.02745,1.85736,1.68916,0.00116956,0.00116956,0.00116956
